Species	a	b
Elaenia_gigas	1	0	
Elaenia_mesoleuca	1	0	
Elaenia_obscura	1	0	
Elaenia_pallatangae	1	0	
Elaenia_parvirostris	1	0	
Elaenia_pelzelni	1	0	
Elaenia_ruficeps	1	0	
Elaenia_sp	1	0	
Elaenia_spectabilis	1	0	
Elaenia_strepera	1	0	
Elanus_caeruleus	1	0	
Eleoscytalopus_indigoticus	1	0	
Eleothreptus_anomalus	1	0	
Eleothreptus_candicans	1	0	
Emberizoides_herbicola	1	0	
Emberizoides_ypiranganus	1	0	
Embernagra_longicauda	1	0	
Embernagra_platensis	1	0	
Empidonax_affinis	0	1	
Empidonax_atriceps	0	1	
Empidonax_flavescens	0	1	
Empidonax_fulvifrons	0	1	
Empidonax_wrightii	0	1	
Empidonomus_aurantioatrocristatus	1	0	
Empidonomus_varius	1	0	
Enicognathus_ferrugineus	1	0	
Enicognathus_leptorhynchus	1	0	
Ensifera_ensifera	1	0	
Entomodestes_coracinus	1	0	
Entomodestes_leucotis	1	0	
Epinecrophylla_erythrura	1	0	
Epinecrophylla_fjeldsaai	1	0	
Epinecrophylla_gutturalis	1	0	
Epinecrophylla_haematonota	1	0	
Epinecrophylla_leucophthalma	1	0	
Epinecrophylla_ornata	1	0	
Epinecrophylla_spodionota	1	0	
Eremophila_alpestris	0	1	
Eriocnemis_aline	1	0	
Eriocnemis_cupreoventris	1	0	
Eriocnemis_derbyi	1	0	
Eriocnemis_glaucopoides	1	0	
Eriocnemis_luciani	1	0	
Eriocnemis_mosquera	1	0	
Eriocnemis_nigrivestis	1	0	
Eriocnemis_vestita	1	0	
Estrilda_astrild	1	0	
Eubucco_bourcierii	1	1	
Eubucco_richardsoni	1	0	
Eubucco_tucinkae	1	0	
Eubucco_versicolor	1	0	
Euchrepomis_callinota	1	0	
Euchrepomis_humeralis	1	0	
Euchrepomis_sharpei	1	0	
Euchrepomis_spodioptila	1	0	
Eudocimus_ruber	1	0	
Eudromia_elegans	1	0	
Eudromia_formosa	1	0	
Eudyptes_chrysocome	1	0	
Eudyptes_chrysolophus	1	0	
Eudyptes_robustus	1	0	
Eudyptes_sclateri	1	0	
Eugenes_fulgens	0	1	
Eugralla_paradoxa	1	0	
Eulidia_yarrellii	1	0	
Eupetomena_macroura	1	0	
Euphonia_cayennensis	1	0	
Euphonia_chalybea	1	0	
Euphonia_chlorotica	1	0	
Euphonia_chrysopasta	1	0	
Euphonia_concinna	1	0	
Euphonia_cyanocephala	1	0	
Euphonia_finschi	1	0	
Euphonia_mesochrysa	1	0	
Euphonia_pectoralis	1	0	
Euphonia_plumbea	1	0	
Euphonia_rufiventris	1	0	
Euphonia_saturata	1	0	
Euphonia_trinitatis	1	0	
Euphonia_violacea	1	0	
Euphonia_xanthogaster	1	0	
Euptilotis_neoxenus	0	1	
Euscarthmus_meloryphus	1	0	
Euscarthmus_rufomarginatus	1	0	
Eutoxeres_condamini	1	0	
Falco_sp_large_falcon_sp	1	1	
Florisuga_fusca	1	0	
Fluvicola_albiventer	1	0	
Fluvicola_nengeta	1	0	
Fluvicola_pica	1	0	
Formicarius_colma	1	0	
Formicarius_rufifrons	1	0	
Formicarius_rufipectus	1	0	
FormicariusChamaeza_sp	1	0	
Formicivora_erythronotos	1	0	
Formicivora_grantsaui	1	0	
Formicivora_grisea	1	0	
Formicivora_iheringi	1	0	
Formicivora_littoralis	1	0	
Formicivora_melanogaster	1	0	
Formicivora_rufa	1	0	
Formicivora_serrana	1	0	
Forpus_coelestis	1	0	
Forpus_conspicillatus	1	0	
Forpus_modestus	1	0	
Forpus_passerinus	1	0	
Forpus_sp	1	0	
Forpus_xanthops	1	0	
Forpus_xanthopterygius	1	0	
Frederickena_fulva	1	0	
Frederickena_unduliger	1	0	
Frederickena_viridis	1	0	
Fregata_ariel	1	0	
Fregata_minor	1	0	
Fregetta_grallaria	1	0	
Fregetta_tropica	1	0	
Fulica_ardesiaca	1	0	
Fulica_armillata	1	0	
Fulica_atra	1	0	
Fulica_cornuta	1	0	
Fulica_gigantea	1	0	
Fulica_leucoptera	1	0	
Fulica_rufifrons	1	0	
Fulmarus_glacialoides	1	0	
Furnariidae_sp	1	0	
Furnarius_cristatus	1	0	
Furnarius_figulus	1	0	
Furnarius_leucopus	1	0	
Furnarius_minor	1	0	
Furnarius_rufus	1	0	
Furnarius_sp	1	0	
Furnarius_torridus	1	0	
Galbalcyrhynchus_leucotis	1	0	
Galbalcyrhynchus_purusianus	1	0	
Galbula_albirostris	1	0	
Galbula_chalcothorax	1	0	
Galbula_cyanescens	1	0	
Galbula_cyanicollis	1	0	
Galbula_dea	1	0	
Galbula_galbula	1	0	
Galbula_leucogastra	1	0	
Galbula_pastazae	1	0	
Galbula_tombacea	1	0	
Gallinago_andina	1	0	
Gallinago_gallinago	1	0	
Gallinago_imperialis	1	0	
Gallinago_jamesoni	1	0	
Gallinago_nobilis	1	0	
Gallinago_paraguaiae	1	0	
Gallinago_sp	1	0	
Gallinago_stricklandii	1	0	
Gallinago_undulata	1	0	
Gallinula_melanops	1	0	
Gallirallus_striatus	1	0	
Garrodia_nereis	1	0	
Geocerthia_serrana	1	0	
Geositta_antarctica	1	0	
Geositta_crassirostris	1	0	
Geositta_cunicularia	1	0	
Geositta_isabellina	1	0	
Geositta_maritima	1	0	
Geositta_peruviana	1	0	
Geositta_poeciloptera	1	0	
Geositta_punensis	1	0	
Geositta_rufipennis	1	0	
Geositta_saxicolina	1	0	
Geositta_sp	1	0	
Geositta_tenuirostris	1	0	
Geospiza_conirostris	1	0	
Geospiza_difficilis	1	0	
Geospiza_fortis	1	0	
Geospiza_fuliginosa	1	0	
Geospiza_magnirostris	1	0	
Geospiza_scandens	1	0	
GeospizaCamarhynchusPlatyspizaCerthidea_sp	1	0	
Geothlypis_aequinoctialis	1	0	
Geothlypis_speciosa	0	1	
Geothlypis_tolmieiphiladelphia	1	1	
Geotrygon_albifacies	0	1	
Geotrygon_costaricensis	0	1	
Geotrygon_frenata	1	0	
Geotrygon_linearis	1	0	
Geotrygon_purpurata	1	0	
Geotrygon_saphirina	1	0	
Geranoaetus_melanoleucus	1	0	
Geranoaetus_polyosoma	1	0	
GeranoaetusButeo_sp	0	1	
Glaucidium_bolivianum	1	0	
Glaucidium_costaricanum	0	1	
Glaucidium_gnoma	0	1	
Glaucidium_hardyi	1	0	
Glaucidium_jardinii	1	0	
Glaucidium_minutissimum	1	0	
Glaucidium_mooreorum	1	0	
Glaucidium_nana	1	0	
Glaucidium_nubicola	1	0	
Glaucidium_parkeri	1	0	
Glaucidium_peruanum	1	0	
Glaucis_dohrnii	1	0	
Gnorimopsar_chopi	1	0	
Grallaria_albigula	1	0	
Grallaria_alleni	1	0	
Grallaria_andicolus	1	0	
Grallaria_bangsi	1	0	
Grallaria_blakei	1	0	
Grallaria_capitalis	1	0	
Grallaria_carrikeri	1	0	
Grallaria_dignissima	1	0	
Grallaria_eludens	1	0	
Grallaria_erythroleuca	1	0	
Grallaria_erythrotis	1	0	
Grallaria_excelsa	1	0	
Grallaria_flavotincta	1	0	
Grallaria_gigantea	1	0	
Grallaria_griseonucha	1	0	
Grallaria_guatimalensis	1	1	
Grallaria_haplonota	1	0	
Grallaria_hypoleuca	1	0	
Grallaria_kaestneri	1	0	
Grallaria_milleri	1	0	
Grallaria_nuchalis	1	0	
Grallaria_przewalskii	1	0	
Grallaria_quitensis	1	0	
Grallaria_ridgelyi	1	0	
Grallaria_ruficapilla	1	0	
Grallaria_rufocinerea	1	0	
Grallaria_rufula	1	0	
Grallaria_sp	1	0	
Grallaria_squamigera	1	0	
Grallaria_urraoensis	1	0	
Grallaria_varia	1	0	
Grallaria_watkinsi	1	0	
Grallaricula_cucullata	1	0	
Grallaricula_cumanensis	1	0	
Grallaricula_ferrugineipectus	1	0	
Grallaricula_flavirostris	1	0	
Grallaricula_lineifrons	1	0	
Grallaricula_loricata	1	0	
Grallaricula_nana	1	0	
Grallaricula_ochraceifrons	1	0	
Grallaricula_peruviana	1	0	
Granatellus_pelzelni	1	0	
Graydidascalus_brachyurus	1	0	
Guarouba_guarouba	1	0	
Gubernatrix_cristata	1	0	
Gubernetes_yetapa	1	0	
Guira_guira	1	0	
Gymnoderus_foetidus	1	0	
Gymnomystax_mexicanus	1	0	
Gymnopithys_lunulatus	1	0	
Gymnopithys_rufigula	1	0	
Gymnopithys_salvini	1	0	
Habia_cristata	1	0	
Habia_gutturalis	1	0	
Haematoderus_militaris	1	0	
Haematopus_ater	1	0	
Haematopus_leucopodus	1	0	
Haematopus_sp	1	0	
Haemorhous_mexicanus	0	1	
Haemorhous_sp	0	1	
Halobaena_caerulea	1	0	
Hapalopsittaca_amazonina	1	0	
Hapalopsittaca_fuertesi	1	0	
Hapalopsittaca_melanotis	1	0	
Hapalopsittaca_pyrrhops	1	0	
Hapaloptila_castanea	1	0	
Haplophaedia_assimilis	1	0	
Haplophaedia_aureliae	1	0	
Haplophaedia_lugens	1	0	
Haplospiza_rustica	1	1	
Haplospiza_unicolor	1	0	
Harpagus_diodon	1	0	
Heliactin_bilophus	1	0	
Heliangelus_amethysticollis	1	0	
Heliangelus_exortis	1	0	
Heliangelus_mavors	1	0	
Heliangelus_micraster	1	0	
Heliangelus_regalis	1	0	
Heliangelus_strophianus	1	0	
Heliangelus_viola	1	0	
Heliangelus_zusii	1	0	
Helicolestes_hamatus	1	0	
Heliobletus_contaminatus	1	0	
Heliodoxa_aurescens	1	0	
Heliodoxa_branickii	1	0	
Heliodoxa_gularis	1	0	
Heliodoxa_imperatrix	1	0	
Heliodoxa_leadbeateri	1	0	
Heliodoxa_rubinoides	1	0	
Heliodoxa_schreibersii	1	0	
Heliodoxa_xanthogonys	1	0	
Heliomaster_furcifer	1	0	
Heliomaster_squamosus	1	0	
Heliothryx_auritus	1	0	
Hellmayrea_gularis	1	0	
Hemispingus_atropileus	1	0	
Hemispingus_calophrys	1	0	
Hemispingus_frontalis	1	0	
Hemispingus_goeringi	1	0	
Hemispingus_melanotis	1	0	
Hemispingus_parodii	1	0	
Hemispingus_reyi	1	0	
Hemispingus_rufosuperciliaris	1	0	
Hemispingus_superciliaris	1	0	
Hemispingus_trifasciatus	1	0	
Hemispingus_verticalis	1	0	
Hemispingus_xanthophthalmus	1	0	
Hemithraupis_flavicollis	1	0	
Hemithraupis_guira	1	0	
Hemithraupis_ruficapilla	1	0	
Hemitriccus_cinnamomeipectus	1	0	
Hemitriccus_diops	1	0	
Hemitriccus_flammulatus	1	0	
Hemitriccus_furcatus	1	0	
Hemitriccus_granadensis	1	0	
Hemitriccus_griseipectus	1	0	
Hemitriccus_inornatus	1	0	
Hemitriccus_iohannis	1	0	
Hemitriccus_josephinae	1	0	
Hemitriccus_kaempferi	1	0	
Hemitriccus_margaritaceiventer	1	0	
Hemitriccus_minimus	1	0	
Hemitriccus_minor	1	0	
Hemitriccus_mirandae	1	0	
Hemitriccus_nidipendulus	1	0	
Hemitriccus_obsoletus	1	0	
Hemitriccus_orbitatus	1	0	
Hemitriccus_rufigularis	1	0	
Hemitriccus_spodiops	1	0	
Hemitriccus_striaticollis	1	0	
Hemitriccus_zosterops	1	0	
Henicorhina_leucophrys	1	1	
Henicorhina_leucoptera	1	0	
Henicorhina_negreti	1	0	
Herpsilochmus_[undescribed_Loreto_form]	1	0	
Herpsilochmus_atricapillus	1	0	
Herpsilochmus_axillaris	1	0	
Herpsilochmus_dorsimaculatus	1	0	
Herpsilochmus_dugandi	1	0	
Herpsilochmus_gentryi	1	0	
Herpsilochmus_longirostris	1	0	
Herpsilochmus_motacilloides	1	0	
Herpsilochmus_parkeri	1	0	
Herpsilochmus_pectoralis	1	0	
Herpsilochmus_pileatus	1	0	
Herpsilochmus_roraimae	1	0	
Herpsilochmus_rufimarginatus	1	0	
Herpsilochmus_sellowi	1	0	
Herpsilochmus_sp	1	0	
Herpsilochmus_stictocephalus	1	0	
Herpsilochmus_sticturus	1	0	
Heterocercus_aurantiivertex	1	0	
Heterocercus_flavivertex	1	0	
Heterocercus_linteatus	1	0	
Heteronetta_atricapilla	1	0	
Himantopus_himantopus	1	0	
Hirundinea_ferruginea	1	0	
Hydrobatidae_sp_dark-rumped	1	0	
Hydrocoloeus_minutus	1	0	
Hydropsalis_cayennensis	1	0	
Hydropsalis_climacocerca	1	0	
Hydropsalis_torquata	1	0	
Hylexetastes_perrotii	1	0	
Hylexetastes_stresemanni	1	0	
Hylocharis_chrysura	1	0	
Hylocharis_cyanus	1	0	
Hylocharis_grayi	1	0	
Hylocharis_leucotis	0	1	
Hylocharis_sapphirina	1	0	
Hylocryptus_erythrocephalus	1	0	
Hylocryptus_rectirostris	1	0	
Hylonympha_macrocerca	1	0	
Hylopezus_auricularis	1	0	
Hylopezus_berlepschi	1	0	
Hylopezus_fulviventris	1	0	
Hylopezus_macularius	1	0	
Hylopezus_nattereri	1	0	
Hylopezus_ochroleucus	1	0	
Hylophilus_amaurocephalus	1	0	
Hylophilus_brunneiceps	1	0	
Hylophilus_hypoxanthus	1	0	
Hylophilus_muscicapinus	1	0	
Hylophilus_olivaceus	1	0	
Hylophilus_pectoralis	1	0	
Hylophilus_poicilotis	1	0	
Hylophilus_sclateri	1	0	
Hylophilus_semibrunneus	1	0	
Hylophilus_semicinereus	1	0	
Hylophilus_sp	1	0	
Hylophilus_thoracicus	1	0	
Hylophylax_naevius	1	0	
Hylophylax_punctulatus	1	0	
Hymenops_perspicillatus	1	0	
Hypnelus_ruficollis	1	0	
Hypocnemis_cantator	1	0	
Hypocnemis_flavescens	1	0	
Hypocnemis_hypoxantha	1	0	
Hypocnemis_ochrogyna	1	0	
Hypocnemis_peruviana	1	0	
Hypocnemis_sp_warbling-antbird_sp	1	0	
Hypocnemis_striata	1	0	
Hypocnemis_subflava	1	0	
Hypocnemoides_maculicauda	1	0	
Hypocnemoides_melanopogon	1	0	
Hypoedaleus_guttatus	1	0	
Hypopyrrhus_pyrohypogaster	1	0	
Ibycter_americanus	1	0	
Icterus_abeillei	0	1	
Icterus_bullockiiabeillei	0	1	
Icterus_cayanensis	1	0	
Icterus_croconotus	1	0	
Icterus_graceannae	1	0	
Icterus_jamacaii	1	0	
Icterus_nigrogularis	1	0	
Icterus_parisorum	0	1	
Icterus_pyrrhopterus	1	0	
Idiopsar_brachyurus	1	0	
Ilicura_militaris	1	0	
Incaspiza_laeta	1	0	
Incaspiza_ortizi	1	0	
Incaspiza_personata	1	0	
Incaspiza_pulchra	1	0	
Incaspiza_watkinsi	1	0	
Inezia_caudata	1	0	
Inezia_inornata	1	0	
Inezia_subflava	1	0	
Inezia_tenuirostris	1	0	
Iodopleura_fusca	1	0	
Iodopleura_isabellae	1	0	
Iodopleura_pipra	1	0	
Iridophanes_pulcherrimus	1	0	
Iridosornis_analis	1	0	
Iridosornis_jelskii	1	0	
Iridosornis_porphyrocephalus	1	0	
Iridosornis_reinhardti	1	0	
Iridosornis_rufivertex	1	0	
Isleria_guttata	1	0	
Isleria_hauxwelli	1	0	
Ixobrychus_involucris	1	0	
Jacamaralcyon_tridactyla	1	0	
Junco_hyemalis	0	1	
Junco_hyemalisphaeonotus	0	1	
Junco_phaeonotus	0	1	
Junco_vulcani	0	1	
Knipolegus_aterrimus	1	0	
Knipolegus_cyanirostris	1	0	
Knipolegus_hudsoni	1	0	
Knipolegus_lophotes	1	0	
Knipolegus_nigerrimus	1	0	
Knipolegus_orenocensis	1	0	
Knipolegus_poecilocercus	1	0	
Knipolegus_poecilurus	1	0	
Knipolegus_signatus	1	0	
Knipolegus_striaticeps	1	0	
Lafresnaya_lafresnayi	1	0	
Lampornis_calolaemus	0	1	
Lampornis_castaneoventris	0	1	
Lampornis_sybillae	0	1	
Lampornis_viridipallens	0	1	
Lamprolaima_rhami	0	1	
Lampropsar_tanagrinus	1	0	
Lamprospiza_melanoleuca	1	0	
Laniisoma_elegans	1	0	
Lanio_fulvus	1	0	
Lanio_versicolor	1	0	
Laniocera_hypopyrra	1	0	
Lanius_ludovicianusexcubitor	0	1	
Larosterna_inca	1	0	
Larus_argentatus_x_dominicanus	1	0	
Larus_atlanticus	1	0	
Larus_belcheri	1	0	
Larus_dominicanus	1	0	
Laterallus_jamaicensis	1	0	
Laterallus_leucopyrrhus	1	0	
Laterallus_levraudi	1	0	
Laterallus_melanophaius	1	0	
Laterallus_spilonotus	1	0	
Laterallus_xenopterus	1	0	
Lathrotriccus_euleri	1	0	
Lathrotriccus_griseipectus	1	0	
Lepidocolaptes_albolineatus	1	0	
Lepidocolaptes_angustirostris	1	0	
Lepidocolaptes_falcinellus	1	0	
Lepidocolaptes_fatimalimae	1	0	
Lepidocolaptes_lacrymiger	1	0	
Lepidocolaptes_squamatus	1	0	
Lepidopyga_goudoti	1	0	
Lepidopyga_lilliae	1	0	
Lepidothrix_coeruleocapilla	1	0	
Lepidothrix_iris	1	0	
Lepidothrix_isidorei	1	0	
Lepidothrix_nattereri	1	0	
Lepidothrix_serena	1	0	
Lepidothrix_suavissima	1	0	
Leptasthenura_aegithaloides	1	0	
Leptasthenura_andicola	1	0	
Leptasthenura_fuliginiceps	1	0	
Leptasthenura_pileata	1	0	
Leptasthenura_platensis	1	0	
Leptasthenura_setaria	1	0	
Leptasthenura_sp	1	0	
Leptasthenura_striata	1	0	
Leptasthenura_striolata	1	0	
Leptasthenura_xenothorax	1	0	
Leptasthenura_yanacensis	1	0	
Leptopogon_rufipectus	1	0	
Leptopogon_taczanowskii	1	0	
Leptosittaca_branickii	1	0	
Leptotila_conoveri	1	0	
Leptotila_megalura	1	0	
Leptotila_ochraceiventris	1	0	
Leptotila_pallida	1	0	
Leptotila_rufaxilla	1	0	
Lesbia_nuna	1	0	
Lesbia_victoriae	1	0	
Lesbia_victoriaenuna	1	0	
Lessonia_oreas	1	0	
Lessonia_rufa	1	0	
Lessonia_rufaoreas	1	0	
Leucippus_baeri	1	0	
Leucippus_chlorocercus	1	0	
Leucippus_fallax	1	0	
Leucippus_taczanowskii	1	0	
Leucochloris_albicollis	1	0	
Leucophaeus_fuliginosus	1	0	
Leucophaeus_modestus	1	0	
Leucophaeus_scoresbii	1	0	
Leucopternis_kuhli	1	0	
Leucopternis_melanops	1	0	
Limnoctites_rectirostris	1	0	
Limnornis_curvirostris	1	0	
Limosa_haemastica	1	0	
Limosa_lapponica	1	0	
Liosceles_thoracicus	1	0	
Lipaugus_fuscocinereus	1	0	
Lipaugus_lanioides	1	0	
Lipaugus_streptophorus	1	0	
Lipaugus_uropygialis	1	0	
Lipaugus_vociferans	1	0	
Lipaugus_weberi	1	0	
Lochmias_nematura	1	0	
Loddigesia_mirabilis	1	0	
Lophonetta_specularioides	1	0	
Lophornis_brachylophus	0	1	
Lophornis_chalybeus	1	0	
Lophornis_gouldii	1	0	
Lophornis_magnificus	1	0	
Lophornis_ornatus	1	0	
Lophornis_pavoninus	1	0	
Lophornis_stictolophus	1	0	
Lophospingus_griseocristatus	1	0	
Lophospingus_pusillus	1	0	
Lophotriccus_eulophotes	1	0	
Lophotriccus_galeatus	1	0	
Lophotriccus_vitiosus	1	0	
Loxia_curvirostra	0	1	
Lurocalis_rufiventris	1	0	
Machaeropterus_deliciosus	1	0	
Machaeropterus_pyrocephalus	1	0	
Machaeropterus_regulus	1	0	
Machetornis_rixosa	1	0	
Mackenziaena_leachii	1	0	
Mackenziaena_severa	1	0	
Macroagelaius_imthurni	1	0	
Macroagelaius_subalaris	1	0	
Macronectes_giganteus	1	0	
Macronectes_giganteushalli	1	0	
Macronectes_halli	1	0	
Macropsalis_forcipata	1	0	
Malacoptila_fulvogularis	1	0	
Malacoptila_fusca	1	0	
Malacoptila_mystacalis	1	0	
Malacoptila_rufa	1	0	
Malacoptila_semicincta	1	0	
Malacoptila_striata	1	0	
Manacus_manacus	1	0	
Margarornis_rubiginosus	0	1	
Margarornis_squamiger	1	0	
Margarornis_stellatus	1	0	
Masius_chrysopterus	1	0	
Mecocerculus_calopterus	1	0	
Mecocerculus_hellmayri	1	0	
Mecocerculus_leucophrys	1	0	
Mecocerculus_minor	1	0	
Mecocerculus_poecilocercus	1	0	
Mecocerculus_stictopterus	1	0	
Megascops_[undescribed_form]	1	0	
Megascops_albogularis	1	0	
Megascops_atricapilla	1	0	
Megascops_barbarus	0	1	
Megascops_clarkii	0	1	
Megascops_colombianus	1	0	
Megascops_hoyi	1	0	
Megascops_ingens	1	0	
Megascops_koepckeae	1	0	
Megascops_marshalli	1	0	
Megascops_petersoni	1	0	
Megascops_roboratus	1	0	
Megascops_sanctaecatarinae	1	0	
Megascops_sp	1	0	
Megascops_trichopsis	0	1	
Megascops_watsonii	1	0	
Megastictus_margaritatus	1	0	
Megaxenops_parnaguae	1	0	
Melanerpes_cactorum	1	0	
Melanerpes_candidus	1	0	
Melanerpes_cruentatus	1	0	
Melanerpes_flavifrons	1	0	
Melanerpes_hypopolius	0	1	
Melanerpes_pulcher	1	0	
Melanodera_melanodera	1	0	
Melanodera_xanthogramma	1	0	
Melanopareia_elegans	1	0	
Melanopareia_maranonica	1	0	
Melanopareia_maximiliani	1	0	
Melanopareia_torquata	1	0	
Melanotis_hypoleucus	0	1	
Melospiza_melodia	0	1	
Melozone_albicollis	0	1	
Melozone_fusca	0	1	
Melozone_fuscaaberti	0	1	
Melozone_leucotis	0	1	
Merganetta_armata	1	0	
Mergus_octosetaceus	1	0	
Merulaxis_ater	1	0	
Metallura_aeneocauda	1	0	
Metallura_baroni	1	0	
Metallura_eupogon	1	0	
Metallura_odomae	1	0	
Metallura_phoebe	1	0	
Metallura_theresiae	1	0	
Metallura_tyrianthina	1	0	
Metallura_williami	1	0	
Metopothrix_aurantiaca	1	0	
Metriopelia_aymara	1	0	
Metriopelia_ceciliae	1	0	
Metriopelia_melanoptera	1	0	
Metriopelia_morenoi	1	0	
Micrastur_buckleyi	1	0	
Micrastur_gilvicollis	1	0	
Micrastur_mintoni	1	0	
Micrastur_plumbeus	1	0	
Microbates_collaris	1	0	
Microcerculus_bambla	1	0	
Microcerculus_ustulatus	1	0	
Micromonacha_lanceolata	1	0	
Microstilbon_burmeisteri	1	0	
Microxenops_milleri	1	0	
Milvago_chimango	1	0	
Mimus_dorsalis	1	0	
Mimus_longicaudatus	1	0	
Mimus_macdonaldi	1	0	
Mimus_melanotis	1	0	
Mimus_parvulus	1	0	
Mimus_patagonicus	1	0	
Mimus_saturninus	1	0	
Mimus_thenca	1	0	
Mimus_trifasciatus	1	0	
Mimus_triurus	1	0	
Mionectes_macconnelli	1	0	
Mionectes_rufiventris	1	0	
Mionectes_striaticollis	1	0	
Mitrephanes_olivaceus	1	0	
Mitrospingus_oleagineus	1	0	
Mitu_salvini	1	0	
Mitu_tomentosum	1	0	
Mitu_tuberosum	1	0	
Molothrus_rufoaxillaris	1	0	
Momotidae_sp	1	0	
Momotus_aequatorialis	1	0	
Momotus_bahamensis	1	0	
Momotus_momota	1	0	
Monasa_atra	1	0	
Monasa_flavirostris	1	0	
Monasa_nigrifrons	1	0	
Motacilla_alba	1	0	
Muscigralla_brevicauda	1	0	
Muscipipra_vetula	1	0	
Muscisaxicola_albifrons	1	0	
Muscisaxicola_albilora	1	0	
Muscisaxicola_alpinus	1	0	
Muscisaxicola_capistratus	1	0	
Muscisaxicola_cinereus	1	0	
Muscisaxicola_flavinucha	1	0	
Muscisaxicola_fluviatilis	1	0	
Muscisaxicola_frontalis	1	0	
Muscisaxicola_griseus	1	0	
Muscisaxicola_juninensis	1	0	
Muscisaxicola_maclovianus	1	0	
Muscisaxicola_maculirostris	1	0	
Muscisaxicola_rufivertex	1	0	
Muscisaxicola_sp	1	0	
Myadestes_melanops	0	1	
Myadestes_ralloides	1	0	
Myadestes_townsendi	0	1	
Myiarchus_apicalis	1	0	
Myiarchus_cephalotes	1	0	
Myiarchus_ferox	1	0	
Myiarchus_magnirostris	1	0	
Myiarchus_phaeocephalus	1	0	
Myiarchus_semirufus	1	0	
Myiarchus_swainsoni	1	0	
Myiarchus_venezuelensis	1	0	
Myiobius_barbatus	1	0	
Myiobius_sp	1	0	
Myiobius_villosus	1	0	
Myioborus_albifrons	1	0	
Myioborus_brunniceps	1	0	
Myioborus_castaneocapilla	1	0	
Myioborus_flavivertex	1	0	
Myioborus_melanocephalus	1	0	
Myioborus_miniatus	1	1	
Myioborus_ornatus	1	0	
Myioborus_pariae	1	0	
Myioborus_torquatus	0	1	
Myiodynastes_bairdii	1	0	
Myiodynastes_chrysocephalus	1	0	
Myiopagis_flavivertex	1	0	
Myiopagis_olallai	1	0	
Myiopagis_sp	1	0	
Myiopagis_subplacens	1	0	
Myiophobus_cryptoxanthus	1	0	
Myiophobus_fasciatus	1	0	
Myiophobus_flavicans	1	0	
Myiophobus_inornatus	1	0	
Myiophobus_phoenicomitra	1	0	
Myiophobus_roraimae	1	0	
Myiornis_albiventris	1	0	
Myiornis_auricularis	1	0	
Myiornis_ecaudatus	1	0	
Myiotheretes_fumigatus	1	0	
Myiotheretes_fuscorufus	1	0	
Myiotheretes_pernix	1	0	
Myiotheretes_striaticollis	1	0	
Myiothlypis_basilica	1	0	
Myiothlypis_bivittata	1	0	
Myiothlypis_chrysogaster	1	0	
Myiothlypis_cinereicollis	1	0	
Myiothlypis_conspicillata	1	0	
Myiothlypis_coronata	1	0	
Myiothlypis_flaveola	1	0	
Myiothlypis_fraseri	1	0	
Myiothlypis_leucoblephara	1	0	
Myiothlypis_leucophrys	1	0	
Myiothlypis_luteoviridis	1	0	
Myiothlypis_nigrocristata	1	0	
Myiothlypis_rivularis	1	0	
Myiothlypis_signata	1	0	
Myiotriccus_ornatus	1	0	
Myiozetetes_luteiventris	1	0	
Myornis_senilis	1	0	
Myrmeciza_atrothorax	1	0	
Myrmeciza_berlepschi	1	0	
Myrmeciza_castanea	1	0	
Myrmeciza_disjuncta	1	0	
Myrmeciza_ferruginea	1	0	
Myrmeciza_fortis	1	0	
Myrmeciza_goeldii	1	0	
Myrmeciza_griseiceps	1	0	
Myrmeciza_hemimelaena	1	0	
Myrmeciza_hyperythra	1	0	
Myrmeciza_immaculata	1	0	
Myrmeciza_loricata	1	0	
Myrmeciza_melanoceps	1	0	
Myrmeciza_nigricauda	1	0	
Myrmeciza_palliata	1	0	
Myrmeciza_pelzelni	1	0	
Myrmeciza_ruficauda	1	0	
Myrmeciza_squamosa	1	0	
Myrmia_micrura	1	0	
Myrmoborus_leucophrys	1	0	
Myrmoborus_lugubris	1	0	
Myrmoborus_melanurus	1	0	
Myrmoborus_myotherinus	1	0	
Myrmochanes_hemileucus	1	0	
Myrmorchilus_strigilatus	1	0	
Myrmothera_campanisona	1	0	
Myrmothera_simplex	1	0	
Myrmotherula_ambigua	1	0	
Myrmotherula_assimilis	1	0	
Myrmotherula_behni	1	0	
Myrmotherula_brachyura	1	0	
Myrmotherula_cherriei	1	0	
Myrmotherula_grisea	1	0	
Myrmotherula_iheringi	1	0	
Myrmotherula_klagesi	1	0	
Myrmotherula_longicauda	1	0	
Myrmotherula_longipennis	1	0	
Myrmotherula_menetriesii	1	0	
Myrmotherula_minor	1	0	
Myrmotherula_multostriata	1	0	
Myrmotherula_sclateri	1	0	
Myrmotherula_snowi	1	0	
Myrmotherula_sp	1	0	
Myrmotherula_sunensis	1	0	
Myrmotherula_surinamensis	1	0	
Myrmotherula_unicolor	1	0	
Myrmotherula_urosticta	1	0	
Myrtis_fanny	1	0	
Nandayus_nenday	1	0	
Nannopsittaca_dachilleae	1	0	
Nannopsittaca_panychlora	1	0	
Nasica_longirostris	1	0	
Nemosia_pileata	1	0	
Neochen_jubata	1	0	
Neoctantes_niger	1	0	
Neomorphus_pucheranii	1	0	
Neomorphus_radiolosus	1	0	
Neomorphus_rufipennis	1	0	
Neopelma_aurifrons	1	0	
